title,comment,recommend
S. J,"من تازه گرفتم این هندزفری رو تنها مشکلی که میشه گفت تو  ذوغ میزنه ظاهرشه اما اگه طالب هندزفری خوب تو این رنج قیمتی اینو پیشنهاد میکنم هر چقد پول بدی همونقدر اش میخوری
روز دوم رو متور از گوشم افتاد وسط خیابون یه 206 از رو یدونه از گوشی‌اش رد شد انقد محکم بود بدنش ترک برد فقط و هیچیش نشد
باتریش عالیه شیش هفت ساعت راحت جواب میده",recommended
پخش کننده خودرو سونی CDX-G1151U,تو خریدش شک نکنید، من پراید داشتم، بعدش 206 و الان یاریس، تو هر سه ماشین همینو وصل کردم و 4 ساله استفاده میکنم، با دو تا باند 718 عالی جواب میده!,recommended
محافظ مایع,تجربه ی حدود ۵ ماه استفادم رو میگم که این محافظ به هیچ عنوان به عنوان محافظ کارایی نداره فقط به درد این میخوره که گوشی کمتر اثر انگشت به خودش بگیره،حتی با وجود ایندکه من تبلتم کیف کتابی داره ولی بازم کلی خش بزرگ و کوچیک روش افتاده,recommended
خوبه اما اگه کتاب هم داشت بهتر بود,کاربردی و جامع اما کاش سانسوری بود,recommended
عالیه,"سلام
این ماشین امروز به دستم رسید خیلی پرقدرته خیلی تمیز میشوره لباسارو
نقاط ضعفو قدرتشم بالا نوشتم
پیشنهاد میکنم حتما بخرید توی سال حمایت از کالای ایرانی
اگر جنسای ایرانی همشون این کیفیتو داشته باشن من به شخصه سراغ جنس خارجی نمیرم.",recommended
کیفیت و کارایی و قیمت,از نظر پوشش و حفظ گوشی خوبه ولی فوق العاده جنسش بده و بعد از دو هفته قسمت پشتی از کناره ها جدا می شود و اصلا نسبت به قیمتش نمیرزد.,not_recommended
بینظیر در کیفیت و همه چی,دوستان شاهکار برند داس . واقعا صدایی بینظیر . باطری عالی . کیفیت ساخت مثال زدنی . چراغ قوه عالی . ضد آب . ضد غبار . صدا و بیس اعجاب انگیز . واقعا دمه دیجی گرم عالی بود  کیفیت .‌باطریش کولاکه .  خلاصه حرف نداره . ۲۰ وات قدرت,recommended
گلدان,خیلی شیکه و جذابه کیفیتشم عالیه,recommended
مهدی 1778,اصلا بدرد نمیخوره پشیمون میشید.,not_recommended
پنکه گوشی,"خیلی عالیه، فقط کاش از اون سمتش میشد به پاوربانک وصل بشه،من خودم این کار رو انجام دادم،ولی کاش شرکتش این کار رو انجام میداد*
درکل نباید زیاد از این نوع پنکه ها استفاده کرد،چون به سوکت گوشی وصل میشه،با لرزشی که داره باعث خرابی زودرس سوکت گوشی میشه",recommended
کیسه چرمی,"در کل از خرید خودم راضی هستم،حدود 4 ماه میشه استفاده میکنم.
 نسبت به قیمت مدل های غیرچرمی این مدل ارزش خرید رو داره، فقط کمی بدنه ضعیف هست و کمی شکم میندازه توی نقاطی که بیشتر استفاده میشه که اونم با تغییر ارتفاع هر جند ماه یک بار قابل حل هست.",recommended
خوب وکاربردی,"باسلام
کارایی خوبی داره وبرای کسی مثل بنده که اطلاعات باحجم متوسط روکپی میکنم کارراه اندازه. کشوییش باعث میشه قسمت OTG آسیب نبینه. چون من فلشهایی رودیدم که به دلیل نداشتن همین کشویی یامحافظ خیلی زود سوکتشون خراب شده. ولی کشویی ثابت نمیمونه وموقع استفاده یه کم عذاب میده ولی من باهاش کناراومدم وبنظرم محصول خوبیه",recommended
واسکازین آترود,یک هفته است ریختم تو پراید صدای گیربکس قطع شد شتاب بالاتر رفت مصرف اومد پایین دنده ها عالی جا میرن فعلا حرف نداره اگه پایدار باشه تا آخر,recommended
راضی,از خریدم راضیم واقعا شکیله ولی خب باید حواستون باشه به پوسته خارجیش چون به شدت ظریفه و اینکه گنجایشش هم در حد کیف اداریه نباید انتظار زیادی ازش داشت,recommended
خوب نیست,بعد از یک ماه استفاده خود به خود از کار افتاد من هم بدون گارانتی گرفتم مجبور شدم بندازم دور.,not_recommended
رو تختی کازاندرا,چند تا از رو تختی های کازاندرا رو از نزدیک دیدم اصلا و ابدا شبیه عکساشون نیستن.  خب ۵ تا ۱۰ درصد اختلاف رنگ کالا در عکس با واقعیت قابل قبوله ولی  زمین تا آسمون فرق دارن  خیلی تو ذوق میزنه خیلی,not_recommended
آبگریز کننده‌ی خودرو,"کل ماشین رو با این محصول اسپری کردم و با دستمال خودش پاک کردم و بعد با یک دستمال مایکرو فایبر دیگه پرداخت کردم که جای لکه باقی نمونه.
توی روزهای بارونی واقعا خوبه. آب به راحتی از روی بدنه و شیشه ها به پایین میریزه و بعد از قطع شدن بارون، لکه‌ی بارون کمتر روی بدنه میمونه. 
با توجه به قیمتش، راضی کنندست",recommended
پیشنهاد میکنم ولی از شرق سنتر نه,"دو روز کاری معطل بشی جنس بیاد ولی حتی فروشنده جنس دلش نیاد جنسو باز کنه ببینه چی توشه من برای سامسونگ a8 سفارش دادم برای یک گوشی دیگه فرستادن ولی روش برچسب زدن a8 یعنی حتی دلشون نیومده باز کنن بسته رو ببینن واقعا گلس a8 یا نه
باز خوبه دیجی کالا خدمات میده میان مرجوع میکنن",not_recommended
هرگز نخرید,از بی کیفیت ترین مواد درست شده,not_recommended
استفاده روزمره,در کل خوبه برای استفاده روزانه و کیفیت مناسبی دارد,recommended
نخرییییید,حتی یک درصدهم به زیبایی عکس نیست. جنسش مخمل نازک و رنگ کمرنگ و بی کیفیت. به شددت پشیمانم. تازه لک و لوک هم داره,not_recommended
پاور بانک مناسب نسبت به قیمت ور فروش ویژه,توی فروش ویژه واقعاً ارزش خرید داره,recommended
سردوش بی کیفیت,فقط یکبار عمل کرد بعد چراغاش خاموش شد واقعا بی کیفیته هر دفعه دوش باز میکنی تمام قطعات جدا میشه حیف پولی که دادم,not_recommended
پوشش دهی خوبی نداره,من الان چند ماه هست که استفاده میکنم. و تاثیر بدی نداشته,recommended
راضی کنندس,والامانظرها روخوندیم بدگفتن درموردش ولی وقتی دستمون رسید راضی کننده بود و کارمونو خیلی راه انداخت.,recommended
نخرید,اصلا و ابدا ارزش خرید ندارد,not_recommended
نظر من,"سلام.
من این محصول را خریداری کردم و نصب کردم.
ماشین بسیار شیک و اسپرت شده و جلوه زیبایی به داخل ماشین داده. هر کی هم سوار شده خوشش اومده 
خلاصه اینکه ماشین رو خاص میکنه
کیفیتش هم خیلی خوبه
سطحش براق و نرمه و راحت هم جا میره.",recommended
یه شامپو ماشین عالی,"من تا الان 2 بار از همین دیجی خرید کردم.واقعاً عالیه.با توجه به غلظتی که داره نسبت به قیمت واقعاً میصرفه.
بجز براق کنندگی و تمیز کنندگی خوبی که داره تا یه مدت نمیزاره گرد و خاک روی ماشین بشینه و نهایت با یه دستمال نرم گرد و خاک از روی ماشین پاک میشه.",recommended
ارزش بیشتر از قیمت,"کلا خوبه و پیشنهاد میکنم
من تو پیشنهاد ویژه خریدم که قیمتش عالی بود و میخواستم از انبرش برای آتیش کردن ذغال استفاده کنم که وقتی رسید دستم؛ اینقدر خوشم اومد که دیگه دلم نیومد خرابش کنم.
روکش پارچه ای تبدیل به پیشبند میشه که خیلی خوبه و بعد از کار هم سریع جمع میشه و فضای زیادی نمیگیره.
من که خوشم اومد و راضیم",recommended
خرید کفش,"سلام.
بنده این کفش رو خریدم از دیجی.دوستان اگر برای دویدن و run قصد خرید دارید شک نکنید.بسیار سبک هست و پا داخل کفش خیلی احساس راحتی میکند.در هنگام دویدن بر اساس وزن شما هر ضربه ای که شما به سطح زمین وارد میکنید قاعدتا ضربه برگشتی به بدن شما بیشتر یا شاید سه برابر باشه ولی این کفش ضربه برگشتی رو تا حدود خوبی دفع میکند.که این نکته بسیار موثر هست.جنس کفش هم باید استفاده کنم ولی با توجه به داشتن کفش های دوندگی کفش دارای طرح ضد سایش و مستحکم هست.نظر بنده به عنوان یک دونده روی این کفش مثبت هست.موفق باشید.",recommended
نظر,پول هدر دادن، اصلا ماندگاری و پخش بو نداره، حتما پشیمون میشید.,not_recommended
خیلی کوچکه اگه میتونید نخرید برای گیم خوب نیست,خوبه ولی کوچکه و کابلش خیلی کوچکه  و به کابل فشار میاد  کلا من ازش خوشم نیومد,not_recommended
خوشبو اما کم اثر,اگه از فروشگاه معتبر مثل خود دیجی بخرین که قیمت فضایی نذاشته باشه خریدش منطقیه. عطر خاصی داره مثل اسمش که Green هستش. منتها خیلی پخش و ماندگاری نداره. در کل باید طرفدار عطرهای سبز باشین تا اینو بخرین,recommended
نخرید,لمس گوشیم افتضاح شده از وقتی انداختم روش پشیمونم خریدمش,not_recommended
لوبریکانت,محصول خوبیه,recommended
ساعته خوبیه فقط...,همه چی عالی سرعت عالی کیفیت ساخت عالی بنوش هم بسیار خوب سازگار با گوشی,recommended
مینی پک گردو,از نظر نرم افزار های کاربردی که داره خوبه ولی متأسفانه چیزی که دست من رسید ۴تا دی وی دی پر از خط و خش بود انگار قبلا استفاده شده بود، ولی چون دیز بازش کردم چک کنم نتونستم تعویض کنم,not_recommended
تستر نخرید,نخرید تسترش ضعیفه نخرید,not_recommended
یک باتری خالی گوشی گلکسی گرند پرایم را بیشتر پر نمی کند و شارژش تمام میشه,بیشتر از یک باتری گوشی کار نمی کند و زود شارژش تموم میشه,not_recommended
طراحی جداگانه دو در یک!,"برای کسانی که مثل من با همسرشون توی آویز لباس مشکل دارن و می خان حد و حدود مشخص کنن بسیار عالی هست! چون دقیقا دو تا اویز جداگونه است که به هم وصل شده!
قطعا طراحیش مشکل چندین ساله من رو با همسرم حل کرد و من اینجا از طراحش تشکر می کنم!
حتی این قابلیت رو هم داره که ارتفاع رو هم تنظیم کنید که من برای خودم رو بلند تر تنظیم کردم و برای همسرم رو کوتاه تر که هم دسترسی آسونتر بشه هم دیگه قطعا اشتباهی، لباسی جابجا آویزون نشه!
از دیجی هم بابت معرفی این محصول تشکر می کنم چرا که قطعا با گشتن توی مغازه ها چنین چیزی رو نمی تونستم پیدا کنم!",recommended
کیف آگرین,دوستان به شدت از خریدش پشیمونم، داخل کیف خییییییلی کوچیکه و فقط هاردای ابعاد کوچیک توش جا میشه، من یه هارد وسترن مای پاس 4 ترا دارم اصلا نمیره داخلش، زیپش بسته نمیشه، نمیدونم با توجه به این حجم بزرگش چرا انقد فضای داخلش کوچیکه,not_recommended
محسن,شکل و بوی خوب داره ولی ماندگاری صفر اصلا خریدش فاجهه است,not_recommended
بسیار عالی پیشنهاد میکنم استفاده کنید,قبلا به مدت دو سال فقط از قرص کیلین تبز استفاده میکردمک چون هیچکدوم از برندهای موجود بازار بجز کلین تبز پاسخگوی نیازم نبود اما متاسفانه دیگه نتونستم تهیه کنم و هیچ جا گیر نمیاد با نا امیدی تمام این کالا را تهیه کردم و واقعا راضیم خیلی با کیفیت هست.,recommended
هاب USB 3.0 هفت پورت اوریکو مدل H7013-U3,من فکر میکردم ممکنه سرعت رو پایین بیاره، اما هیچ تاثیر منفی ای نداره! فقط کمی سیم برقش کوتاهه بستگی به میز کارتون داره,recommended
هدفون,صدای خوب و امکانات زیادی داره،تنوع رنگیشم بالاست ولی یک مقدار کوچیکه انگار بیشتر مناسب نوجوان هاست تا بزرگسال,recommended
کیفیت صفر,اصلا انتظار همچین جنس بی کیفیتی رو نداشتم، چند روز بعد مارک بنز گم شد، یک ماه بعد خودش، کلا کیفیت صفر،اصلا پیشنهاد نمیکنم، در حد اسباب بازی,not_recommended
ظرفشویی dc75,به شدت خریدش رو توصیه میکنم به دوستان حیف که قیمت فعلی خیلی بالا رفته مانند سایر کالاهاجنس بدنه باکیفیت وخوشرنگ هستش مخصوصاکه من باسایدp860 ال جی ست کردم کاملا بیصدا واگر از قرص فینیش کوانتوم استفاده کنید یه شستوشوی بینظیر رو تحویلتون میده یه زمان من از منتقدان برند ال جی بودم ولی این اواخر ال جی واقعا خواسته پیشرفت کنه وبه کیفیت کاملا بها داده و واقعا موفق بوده درضمن من  فروشنده و کارمند این شرکت نیستم فقط نظر شخصی ام رو با شما به اشتراک گذاشتم,recommended
کیفیت عالی نسبت به قیمت,کیفیت قابل قبولی داره پیشنهاد میکنم,recommended
تجربه,"اگه برای خودروی خودتون ارزش قائل هستین نخرید.
به شدت موتور خودرو رو اذیت میکنه و باعث ساییدگی قطعات داخلی میشه هیچ هم معلوم نیست از کجا اومده این روغن.",not_recommended
اکسیر  پلاس,من برای اریزو توربو استفاده کردم مصرف سوخت ۲ لیتر اومد پایین ولی  توی شتاب ماشین اتفاق خاصی نیافتاد,recommended
سپیده,دوستان اصلا نخرین حتی تو شگفت‌انگیز، واقعا متأسفم، به عنوان هدیه برا مادرم و برای جهاز خودم گرفتم آبروم رفت پیش مامانم بعد از دو بار خدا شاهده فقط دوبار کار کردن اونم خرد کردن پیاز و گوجه تازه نه گوشت، تیغه چاقو درومد از جاش ، تازه فقط بار اول تیز بود و بعد کند شد، سایز تخته هم کوچیکه، در کل جالب نیست اصلااااا نخرید,not_recommended
بی کیفیت,کالایی بد تر و بی کیفیت تر از این نمیشه تولید کرد . 4 لایه ورق گذاشتن رو هم و پرچ کردن نه کیفیت داره نه کارایی . تازه من توی شگفت انگیز خریدم اما  با این پول دوتا بستنی بخری برد کردی تا این آچار رو داشته باشی,not_recommended
اسکچرز، مناسب برای پیاده روی,"با سلام.. الآن 1 ماه هستش که این کتونی رو از دیجی کالا تهیه کردم و استفاده میکنم
فوق العاده سبک، نرم و با کیفیت هستش. کفی و زیره خیلی خوبی داره
تنها مشکلی که داره اینه که شاید با سلیقه بعضی افراد جور در نیاد چون طراحی مینیمال و بسیار ساده ای داره
به هر حال من از خریدم راضی هستم و حتما پیشنهاد میکنم اگر دنبال یه کتونی خوب توی رنج متوسط هستید این محصول رو توی لیستتون داشته باشید.",recommended
سلام خسته نباشید,سلام جنس خوب وباداومی داره دربشم خوب بسته میشه .برای جای پیچ ورولپلاک خوبه. ...,recommended
بدرد نمیخوره,شارژر خوبه و تراحی خوبی داره ولی الان  بعد ۴ماه کار کردن باهاش دیزوز دیگه هرچی شارژش میکنم یا میزنم ب گوشیم ک شارژ کنه اصلا کار نمیکنه و خاموش مونده و گارانتی هم نداره از دیجیکالا هم تهیه کردم الان نمیدونم کجا ببرم چیکار کنم دیگه روشن نمیشه اصلا,not_recommended
کیفیت خوب,اسپیکر خوبی هست تو پیشنهاد ویژه خریدم یه کم برای حمل ونقل بزرگه ولی کیفیت صدا وساخت خوبی داره,recommended
دسته بدرد نخور,بدترین دسته تاریخ با اختلاف .هی میگن تولید ملی تولید ملی اینو اصلا نمیشه با دسته های ps4 و xbox مقایسه کرد.ناسلامتی بی سیم ام باید با دانگلش ۲ سانتی فاصله بگیری بیشتر از دوسانتی متر بد کار میکنه.,not_recommended
ld-30,این نکات بالا رو پس از یک ماه استفاده با این وسیله تجربه کردم و از همه مهم تر اینه که این محصول ساخت یکی از شرکتای خوب ایرانیه که با محصولات جهانی رقابت میکنه البته امروزه دیگه همه با موبایل اهنگ گوش میدن ولی اگه خواستین که تو فعالیت های ورزشی جیبتون سنگین نشه خرید این محصولو به شما پیشنهاد میکنم,recommended
بدرد مسافرت نمیخوره,پولمو دور ریختم,not_recommended
اردو خوری,خیلی بی کیفیت هست و سایزهاش خیلی کوچیک و بدون کاربرد هست واقعا من توی شگفت انگیز خریدم ولی تو قیمت شگفت انگیز هم ارزش خرید نداره.,not_recommended
منخیلی الکیه,بازی نه گرافیک خوبی داره و هی گیر میکنه,not_recommended
خیلی نازه,هم رنگش قشنگه وهم جمع وجوره تموم لوازم ارایشی وبراشامم ک برای مسافرت واقعااحتیاجه توش جاشد,recommended
شبه لیوانه بی کیفیت,سلام. تا الان بالای صد تا فاکتور خرید داشتم از دیجیکالا  . هیچوقت از خریدم پشیمون نشده بودم تا امروز که این لیوان ها رو دیدم .,not_recommended
طراحی عالی,کیفیت تصویر خوب,recommended
چند راهی برق,بنده این سیم سیار رو تازه خریداری کردم از دیجی کالا و کاملا راضی هستم جنس سیمش خوبه و دوشاخه ها اصلا لق نمیزنه,recommended
